"Status","Name","Duration in ms","Description"
"broken","Scripts.A_Register_test.TestRigister#test_001_mobile_register","0","
        用例一： 手机注册
        :param create_mobile: 随机生成手机号码
        :param loginpwd: 登陆密码
        :param code:  验证码
        "
"broken","Scripts.A_Register_test.TestRigister#test_003_switch_nation_register","0","
        用例三: 切换国家注册,委内瑞拉
        :param create_VE_mobile: 随机生成委内瑞拉手机号码
        :param nation: 国家名称
        :param loginpwd: 登陆密码
        :param code:  验证码
        "
"broken","Scripts.A_Register_test.TestRigister#test_002_email_register","0","
        用例二： 邮箱注册
        :param create_email: 随机生成邮箱地址
        :param loginpwd: 登陆密码
        :param code:  验证码
        "
